Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
"619 Yonge Street Condos is a new condominium development by YI Developments Ltd. currently in pre-construction located at 619 Yonge Street, Toronto in the Church & Wellesley neighbourhood with a 100/100 walk score and a 91/100 transit score. 619 Yonge Street Condos is designed by CORE Architects. The project is 57 storeys tall and has a total of 606 suites. 619 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Yonge & Rosehill Condos is a new condominium development by Originate Developments Inc. currently in pre-construction located at 1365 Yonge Street, Toronto in the Summerhill neighbourhood with a 97/100 walk score and a 84/100 transit score. Yonge & Rosehill Condos is designed by Turner Fleischer Architects. The project is 50 storeys tall and has a total of 655 suites. Yonge & Rosehill Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Distrikt Forest Hill Towns is a new condominium development by Distrikt Developments currently in pre-construction located at 40 Elderwood Drive, Toronto in the Forest Hill neighbourhood with a 72/100 walk score and a 71/100 transit score. The project is 4 storeys tall and has a total of 45 suites. Distrikt Forest Hill Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"Oakwood Living Condos is a new condominium development by UrbinCo currently in pre-construction located at 464 Oakwood Avenue, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 92/100 walk score and a 79/100 transit score. The project is 3 storeys tall and has a total of 4 suites. Oakwood Living Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Casa Collina Condos is a new condominium development by UrbinCo currently in pre-construction located at 574 Davenport Road, Toronto in the Casa Loma neighbourhood with a 94/100 walk score and a 83/100 transit score. The project is 3 storeys tall and has a total of 4 suites. Casa Collina Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"The Charlton Residences Condos is a new condominium development by Old Stonehenge currently in pre-construction located at 1705 Weston Road, Toronto in the Weston neighbourhood with a 75/100 walk score and a 84/100 transit score. The Charlton Residences Condos is designed by CORE Architects. The project is 24 storeys tall and has a total of 254 suites. The Charlton Residences Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Designers Walk Condos is a new condominium development by Cityzen Development Group & Greybrook Realty Partners currently in pre-construction located at 306 Davenport Road, Toronto in the The Annex neighbourhood with a 94/100 walk score and a 96/100 transit score. Designers Walk Condos is designed by BBB Architects. The project is 22 storeys tall and has a total of 100 suites. Designers Walk Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Castlefield Design District Condos is a new condominium development by Old Stonehenge currently in pre-construction located at 2116 Eglinton Avenue West, Toronto in the Fairbank neighbourhood with a 72/100 walk score and a 69/100 transit score. Castlefield Design District Condos is designed by Studio JCI. The project is 9 storeys tall and has a total of 101 suites. Castlefield Design District Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Davenport Village Lofts is a new condominium development by Lithos Group currently in pre-construction located at 1836 Davenport Road, Toronto in the The Junction neighbourhood with a 86/100 walk score and a 80/100 transit score. Davenport Village Lofts is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2699 Keele Street Condos is a new condominium development by Worsley Urban Partners currently in pre-construction located at 2699 Keele Street, Toronto in the Downsview neighbourhood with a 69/100 walk score and a 68/100 transit score. 2699 Keele Street Condos is designed by Richmond Architects Ltd.. The project is 28 storeys tall and has a total of 386 suites. 2699 Keele Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"206 Russell Hill Road Towns is a new condominium development by  currently in pre-construction located at 206 Russell Hill Road, Toronto in the South Hill neighbourhood with a 56/100 walk score and a 83/100 transit score. 206 Russell Hill Road Towns is designed by Rafael Bigauskas Architects Inc.. The project is 4 storeys tall and has a total of 4 suites. 206 Russell Hill Road Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"1613 St Clair Avenue West Toronto Condos is a new condominium development by Nova Ridge Development Partners Inc. currently in pre-construction located at 1613 Saint Clair Avenue West, Toronto in the The Junction neighbourhood with a 89/100 walk score and a 76/100 transit score. 1613 St Clair Avenue West Toronto Condos is designed by SvN Architects. The project is 17 storeys tall and has a total of 258 suites. 1613 St Clair Avenue West Toronto Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"64 Prince Arthur Avenue Condos is a new condominium development by ADI Development Group currently in pre-construction located at 64 Prince Arthur Avenue, Toronto in the The Annex neighbourhood with a 93/100 walk score and a 100/100 transit score. 64 Prince Arthur Avenue Condos is designed by RAW Design. The project is 13 storeys tall and has a total of 95 suites. 64 Prince Arthur Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"500 Duplex Avenue Condos is a new condominium development by Minett Capital Inc & Streamliner Properties Inc. currently in pre-construction located at 500 Duplex Avenue, Toronto in the Lytton Park neighbourhood with a 93/100 walk score and a 88/100 transit score. 500 Duplex Avenue Condos is designed by IBI Group. The project is 12 storeys tall and has a total of 523 suites. 500 Duplex Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"41-75 Four Winds Drive Condos is a new condominium development by Jaymor Group currently in pre-construction located at 41 Four Winds Drive, Toronto in the York University neighbourhood with a 73/100 walk score and a 79/100 transit score. 41-75 Four Winds Drive Condos is designed by Michael Spaziani Architect Inc.. The project is 25 storeys tall and has a total of 547 suites. 41-75 Four Winds Drive Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1 Greenbriar Road Condos is a new condominium development by AC Development currently in pre-construction located at 1 Greenbriar Road, Toronto in the Bayview Village neighbourhood with a 38/100 walk score and a 71/100 transit score. 1 Greenbriar Road Condos is designed by ICON Architects Inc. The project is 12 storeys tall and has a total of 145 suites. 1 Greenbriar Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Alfie Condos is a new condominium development by Madison Group currently in pre-construction located at 8 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 79/100 walk score and a 86/100 transit score. Alfie Condos is designed by superkül & Turner Fleischer Architects and will feature interior design by II BY IV DESIGN. The project is 28 storeys tall and has a total of 427 suites. Alfie Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"429 Walmer Road Condos is a new condominium development by Stafford Homes currently in pre-construction located at 429 Walmer Road, Toronto in the Forest Hill neighbourhood with a 85/100 walk score and a 85/100 transit score. 429 Walmer Road Condos is designed by Arcadis IBI Group Architects. The project is 19 storeys tall and has a total of 98 suites. 429 Walmer Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"141 Davisville Avenue Condos is a new condominium development by Osmington Gerofsky Development Corp currently in pre-construction located at 141 Davisville Avenue, Toronto in the Davisville Village neighbourhood with a 86/100 walk score and a 86/100 transit score. 141 Davisville Avenue Condos is designed by Wallman Architects. The project is 32 storeys tall and has a total of 423 suites. 141 Davisville Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"The Towns of Lambton Mills is a new condominium development by TFC Developments currently in pre-construction located at 175 Eileen Avenue, Toronto in the Lambton neighbourhood with a 67/100 walk score and a 64/100 transit score. The Towns of Lambton Mills is designed by Romanov Romanov Architects Inc.. The project is 3 storeys tall and has a total of 58 suites. The Towns of Lambton Mills is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"500 Sheppard Avenue East Condos is a new condominium development by Bayview Sheppard Developments Limited currently in pre-construction located at 500 Sheppard Avenue East, Toronto in the Willowdale neighbourhood with a 77/100 walk score and a 72/100 transit score. 500 Sheppard Avenue East Condos is designed by IBI Group. The project is 39 storeys tall and has a total of 925 suites. 500 Sheppard Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"680 Sheppard Avenue East Condos is a new condominium development by Greybrook Realty Partners & Tribute Communities currently in pre-construction located at 680 Sheppard Avenue East, Toronto in the Bayview Village neighbourhood with a 84/100 walk score and a 72/100 transit score. 680 Sheppard Avenue East Condos is designed by Kirkor Architect + Planners. The project is 22 storeys tall and has a total of 487 suites. 680 Sheppard Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"29-39 Pleasant Boulevard Condos is a new condominium development by Gairloch & Harlo Capital & KingSett Capital currently in pre-construction located at 29 Pleasant Boulevard, Toronto in the Summerhill neighbourhood with a 88/100 walk score and a 88/100 transit score. 29-39 Pleasant Boulevard Condos is designed by Giannone Petricone Associates Inc.. The project is 40 storeys tall and has a total of 330 suites. 29-39 Pleasant Boulevard Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"136 Broadway Avenue Condos is a new condominium development by Reserve Properties currently in pre-construction located at 136 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 85/100 walk score and a 85/100 transit score. 136 Broadway Avenue Condos is designed by Arcadis IBI Group Architects. The project is 35 storeys tall and has a total of 366 suites. 136 Broadway Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"15 Hollis Street Condos is a new condominium development by Gairloch currently in pre-construction located at 15 Hollis Street, Toronto in the Mt Dennis neighbourhood with a 55/100 walk score and a 70/100 transit score. 15 Hollis Street Condos is designed by architectsAlliance. The project is 45 storeys tall and has a total of 326 suites. 15 Hollis Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1233 Yonge Street Condos is a new condominium development by Plaza currently in pre-construction located at 1233 Yonge Street, Toronto in the Summerhill neighbourhood with a 94/100 walk score and a 86/100 transit score. 1233 Yonge Street Condos is designed by Arcadis IBI Group Architects. The project is 49 storeys tall and has a total of 724 suites. 1233 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"25 McMurrich Street Condos is a new condominium development by The Gupta Group currently in pre-construction located at 25 McMurrich Street, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 91/100 transit score. 25 McMurrich Street Condos is designed by Arcadis IBI Group Architects. The project is 23 storeys tall and has a total of 189 suites. 25 McMurrich Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"3400 Dufferin Street Condos is a new condominium development by Collecdev currently in pre-construction located at 3400 Dufferin Street, Toronto in the North Park-Yorkdale neighbourhood with a 82/100 walk score and a 85/100 transit score. 3400 Dufferin Street Condos is designed by gh3*. The project is 29 storeys tall and has a total of 834 suites. 3400 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Dupont Towns is a new condominium development by Grid Developments currently in pre-construction located at Dupont Street, Toronto in the Wallace Emerson neighbourhood with a 90/100 walk score and a 85/100 transit score. The project has a total of 7 suites. Dupont Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"Gorman Park Condos is a new condominium development by Greenfield Quality Builders currently in pre-construction located at 128 Gorman Park Road, Toronto in the Clanton Park neighbourhood with a 70/100 walk score and a 75/100 transit score. Gorman Park Condos is designed by superkül. The project is 9 storeys tall and has a total of 85 suites. Gorman Park Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Glencairn Condos is a new condominium development by Greatwise Developments currently in pre-construction located at 491 Glencairn Avenue, Toronto in the Glen Park neighbourhood with a 77/100 walk score and a 72/100 transit score. Glencairn Condos is designed by CORE Architects. The project is 8 storeys tall and has a total of 105 suites. Glencairn Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1745 St. Clair Avenue West Condos is a new condominium development by Kultura currently in pre-construction located at 1745 Saint Clair Avenue West, Toronto in the The Junction neighbourhood with a 90/100 walk score and a 81/100 transit score. 1745 St. Clair Avenue West Condos is designed by RAW Design. Development is scheduled to be completed in 2023. The project is 11 storeys tall and has a total of 70 suites. 1745 St. Clair Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Humber River Condos is a new condominium development by Time Development Group currently in pre-construction located at 1326 Wilson Avenue, Toronto in the Downsview neighbourhood with a 48/100 walk score and a 66/100 transit score. Humber River Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1086 Yonge Street Condos is a new condominium development by North Drive currently in pre-construction located at 1086 Yonge Street, Toronto in the Summerhill neighbourhood with a 91/100 walk score and a 87/100 transit score. 1086 Yonge Street Condos is designed by Reflect Architecture. The project is 12 storeys tall and has a total of 28 suites. 1086 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"88 Isabella Street Condos is a new condominium development by Capital Developments currently in pre-construction located at 88 Isabella Street, Toronto in the Church & Wellesley neighbourhood with a 97/100 walk score and a 90/100 transit score. 88 Isabella Street Condos is designed by Diamond Schmitt Architects. Development is scheduled to be completed in 2029. The project is 62 storeys tall and has a total of 669 suites. 88 Isabella Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"5 Raglan Avenue Condos is a new condominium development by Lash Group of Companies & The Goldman Group currently in pre-construction located at 5 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 90/100 walk score and a 86/100 transit score. 5 Raglan Avenue Condos is designed by Richmond Architects Ltd.. The project is 28 storeys tall and has a total of 210 suites. 5 Raglan Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"36 Eglinton Avenue West Condos is a new condominium development by Lifetime Developments currently in pre-construction located at 36 Eglinton Avenue West, Toronto in the Lytton Park neighbourhood with a 98/100 walk score and a 93/100 transit score. 36 Eglinton Avenue West Condos is designed by Wallman Architects. The project is 59 storeys tall and has a total of 614 suites. 36 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2010 Yonge Street Condos is a new condominium development by The Sud Group currently in pre-construction located at 2010 Yonge Street, Toronto in the Chaplin Estates neighbourhood with a 94/100 walk score and a 91/100 transit score. 2010 Yonge Street Condos is designed by Graziani + Corazza Architects Inc.. The project is 14 storeys tall and has a total of 161 suites. 2010 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Weston Park Development is a new condominium development by Castlepoint Numa currently in pre-construction located at 1871 Weston Road, Toronto in the Weston neighbourhood with a 80/100 walk score and a 79/100 transit score. Weston Park Development is designed by SvN Architects and Giannone Petricone Associates Inc.. The project is 50 storeys tall and has a total of 927 suites. Weston Park Development is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Lawrence Park 19 Towns is a new condominium development by Gairloch currently in pre-construction located at 49 Lawrence Avenue East, Toronto in the Lawrence Park neighbourhood with a 85/100 walk score and a 82/100 transit score. Lawrence Park 19 Towns is designed by architectsAlliance. The project has a total of 19 suites. Lawrence Park 19 Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"750 Mount Pleasant Road Condos is a new condominium development by Bazis Inc currently in pre-construction located at 750 Mount Pleasant Road, Toronto in the Davisville Village neighbourhood with a 95/100 walk score and a 88/100 transit score. 750 Mount Pleasant Road Condos is designed by R. Varacalli Architect. The project is 35 storeys tall and has a total of 398 suites. 750 Mount Pleasant Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Lytton Park Custom Townhomes is a new condominium development by Sierra Building Group currently in pre-construction located at Avenue Road & Lytton Boulevard, Toronto in the Lytton Park neighbourhood with a 31/100 walk score and a 70/100 transit score. The project has a total of 6 suites. Lytton Park Custom Townhomes is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"1801 Eglinton Avenue West Condos is a new condominium development by KingSett Capital currently in pre-construction located at 1801 Eglinton Avenue West, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 82/100 walk score and a 79/100 transit score. 1801 Eglinton Avenue West Condos is designed by BDP Quadrangle. The project is 41 storeys tall and has a total of 399 suites. 1801 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"The 228 Condominiums & Towns is a new condominium development by Kartelle currently in pre-construction located at 228 Wilson Avenue, Toronto in the Armour Heights neighbourhood with a 78/100 walk score and a 67/100 transit score. The project is 17 storeys tall and has a total of 108 suites. The 228 Condominiums & Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"River Town is a new condominium development by Crowntrust Developer currently in pre-construction located at 2011 Lawrence Avenue West, Toronto in the Weston neighbourhood with a 82/100 walk score and a 81/100 transit score. River Town is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"289 Christie Street Condos is a new condominium development by Zinc Developments currently in pre-construction located at 289 Christie Street, Toronto in the Christie Pits neighbourhood with a 81/100 walk score and a 82/100 transit score. 289 Christie Street Condos is designed by RAW Design. The project is 6 storeys tall and has a total of 49 suites. 289 Christie Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Keele and Paxtonia Condos is a new condominium development by Trinity Point Developments currently in pre-construction located at 2801 Keele Street, Toronto in the Downsview neighbourhood with a 28/100 walk score and a 67/100 transit score. Keele and Paxtonia Condos is designed by Graziani + Corazza Architects Inc.. The project is 11 storeys tall and has a total of 156 suites. Keele and Paxtonia Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"23 Poyntz Avenue Condos is a new condominium development by Central Capital Realty Inc currently in pre-construction located at 23 Poyntz Avenue, Toronto in the Lansing-Westgate neighbourhood with a 78/100 walk score and a 90/100 transit score. 23 Poyntz Avenue Condos is designed by IBI Group. The project is 9 storeys tall and has a total of 41 suites. 23 Poyntz Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Lawrence Manor Towns is a new condominium development by Mackenzie Hall Homes currently in pre-construction located at 579 Lawrence Avenue West, Toronto in the Glen Park neighbourhood with a 56/100 walk score and a 81/100 transit score. Lawrence Manor Towns is designed by R. Varacalli Architect. Development is scheduled to be completed in 2024. The project is 4 storeys tall and has a total of 25 suites. Lawrence Manor Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"Yonge & Birch Condos is a new condominium development by Woodcliffe Landmark Properties currently in pre-construction located at 1196 Yonge Street, Toronto in the Summerhill neighbourhood with a 94/100 walk score and a 86/100 transit score. Yonge & Birch Condos is designed by KPMB. The project is 14 storeys tall and has a total of 59 suites. Yonge & Birch Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"955 Weston Road Condos is a new condominium development by Haven Developments currently in pre-construction located at 955 Weston Road, Toronto in the Rockcliffe-Smythe neighbourhood with a 59/100 walk score and a 71/100 transit score. 955 Weston Road Condos is designed by Turner Fleischer Architects. The project is 34 storeys tall and has a total of 1,003 suites. 955 Weston Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"4800 Yonge Condos is a new condominium development by Menkes Developments Ltd. currently under construction located at 4800 Yonge Street, Toronto in the Lansing-Westgate neighbourhood with a 95/100 walk score and a 95/100 transit score. 4800 Yonge Condos is designed by Arquitectonica & Turner Fleischer Architects & B+H Architects and will feature interior design by Figure3. The project is 49 storeys tall (167.0m, 547.9ft) and has a total of 498 suites. 4800 Yonge Condos is the # tallest condominium in  and the # tallest condominium in . 4800 Yonge Condos is currently in Registration Phase.",Under Construction,Yes,-,Yes,-,Condo,
"St. Clair Place Condos is a new condominium development by Capital Developments & Wittington Properties Limited currently in pre-construction located at 1485 Yonge Street, Toronto in the Deer Park neighbourhood with a 93/100 walk score and a 88/100 transit score. St. Clair Place Condos is designed by Diamond + Schmitt Architects Inc.. The project is 44 storeys tall and has a total of 1,361 suites. St. Clair Place Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"South Station Condos is a new condominium development by Devron currently in pre-construction located at 21 John Street, Toronto in the Weston neighbourhood with a 82/100 walk score and a 79/100 transit score. South Station Condos is designed by 3XN and Turner Fleischer Architects. The project is 40 storeys tall and has a total of 484 suites. South Station Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1860 Keele Street Condos is a new condominium development by Block Developments & Trolleybus Urban Development Inc currently in pre-construction located at 1860 Keele Street, Toronto in the Silverthorn neighbourhood with a 63/100 walk score and a 73/100 transit score. 1860 Keele Street Condos is designed by RAW Design. The project is 18 storeys tall and has a total of 245 suites. 1860 Keele Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"The Bayview Condos is a new condominium development by Dormer Homes currently in pre-construction located at 2810 Bayview Avenue, Toronto in the Willowdale neighbourhood with a 85/100 walk score and a 72/100 transit score. The Bayview Condos is designed by Kirkor Architect + Planners. The project is 7 storeys tall and has a total of 67 suites. The Bayview Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Wilmington Towns is a new condominium development by Biddington Homes currently in pre-construction located at 221 Wilmington Avenue, Toronto in the Bathurst Manor neighbourhood with a 50/100 walk score and a 71/100 transit score. The project has a total of 168 suites. Wilmington Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"3621 Dufferin Street Condos is a new condominium development by Dymon Group of Companies currently under construction located at 3621 Dufferin Street, Toronto in the Clanton Park neighbourhood with a 64/100 walk score and a 88/100 transit score. 3621 Dufferin Street Condos is designed by TACT Architecture Inc.. The project is 10 storeys tall and has a total of 158 suites. 3621 Dufferin Street Condos is currently in Registration Phase.",Under Construction,Yes,-,Yes,-,Condo,
"The Yorkdale Condos Phase 2 is a new condominium development by Context & Metropia Urban Landscapes currently in pre-construction located at Ranee Avenue, Toronto in the Lawrence Manor neighbourhood with a 72/100 walk score and a 91/100 transit score. The Yorkdale Condos Phase 2 is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"The Stockton Condos is a new condominium development by Block Developments currently in pre-construction located at 406 Keele Street, Toronto in the The Junction neighbourhood with a 95/100 walk score and a 81/100 transit score. The Stockton Condos is designed by RAW Design. The project is 5 storeys tall and has a total of 30 suites. The Stockton Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Wenderly Park Towns is a new condominium development by Urbanquest Incorporated currently in pre-construction located at 111 Wenderly Drive, Toronto in the Glen Park neighbourhood with a 80/100 walk score and a 84/100 transit score. Wenderly Park Towns is designed by CMV Group Architects. The project is 3 storeys tall and has a total of 10 suites. Wenderly Park Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"589 Sheppard Avenue East Condos is a new condominium development by JFJ Development Inc. currently in pre-construction located at 589 Sheppard Avenue East, Toronto in the Bayview Village neighbourhood with a 79/100 walk score and a 72/100 transit score. 589 Sheppard Avenue East Condos is designed by RAW Design. The project is 14 storeys tall and has a total of 160 suites. 589 Sheppard Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"245 Sheppard Avenue West Condos is a new condominium development by JFJ Development Inc. & PineLake Group currently in pre-construction located at 254 Sheppard Avenue West, Toronto in the Lansing-Westgate neighbourhood with a 58/100 walk score and a 86/100 transit score. 245 Sheppard Avenue West Condos is designed by WZMH Architects. The project is 11 storeys tall and has a total of 112 suites. 245 Sheppard Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"1315 Finch Avenue West Condos is a new condominium development by CTN Developments currently in pre-construction located at 1315 Finch Avenue West, Toronto in the York University neighbourhood with a 83/100 walk score and a 78/100 transit score. 1315 Finch Avenue West Condos is designed by AAA Architects. The project is 15 storeys tall and has a total of 803 suites. 1315 Finch Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1200 Bay Street Condos is a new condominium development by Kroonenberg Group & ProWinko currently in pre-construction located at 1200 Bay Street, Toronto in the Yorkville neighbourhood with a 98/100 walk score and a 96/100 transit score. 1200 Bay Street Condos is designed by Herzog and de Meuron & Quadrangle Architects Ltd.. The project is 87 storeys tall and has a total of 332 suites. 1200 Bay Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1140 Yonge Street Condos is a new condominium development by Constantine Enterprises Inc. & Devron currently in pre-construction located at 1140 Yonge Street, Toronto in the Summerhill neighbourhood with a 94/100 walk score and a 91/100 transit score. 1140 Yonge Street Condos is designed by AUDAX & ERA Architects. The project is 10 storeys tall and has a total of 64 suites. 1140 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"110 Sheppard Avenue West Condos is a new condominium development by Kensington Homes Inc. & Rochereau Ltd. currently in pre-construction located at 110 Sheppard Avenue West, Toronto in the Lansing-Westgate neighbourhood with a 82/100 walk score and a 92/100 transit score. 110 Sheppard Avenue West Condos is designed by Options Architects. The project is 6 storeys tall and has a total of 30 suites. 110 Sheppard Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"11 Pleasant Boulevard Condos is a new condominium development by Plaza Partners currently in pre-construction located at 11 Pleasant Boulevard, Toronto in the Summerhill neighbourhood with a 91/100 walk score and a 85/100 transit score. 11 Pleasant Boulevard Condos is designed by BDP Quadrangle. The project is 14 storeys tall and has a total of 72 suites. 11 Pleasant Boulevard Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1075 Bay Street Condos is a new condominium development by Canderel Residential currently in pre-construction located at 1075 Bay Street, Toronto in the Discovery District neighbourhood with a 99/100 walk score and a 99/100 transit score. 1075 Bay Street Condos is designed by Hariri Pontarini Architects. The project is 59 storeys tall and has a total of 540 suites. 1075 Bay Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"101 Heath Street Condos is a new condominium development by Haven Developments currently in pre-construction located at 101 Heath Street West, Toronto in the Deer Park neighbourhood with a 85/100 walk score and a 82/100 transit score. 101 Heath Street Condos is designed by RAW Design. The project is 3 storeys tall and has a total of 10 suites. 101 Heath Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"3750 Bathurst Street Condos is a new condominium development by Grmada Holdings Inc currently in pre-construction located at 3750 Bathurst Street, Toronto in the Clanton Park neighbourhood with a 72/100 walk score and a 72/100 transit score. 3750 Bathurst Street Condos is designed by WZMH Architects. The project is 30 storeys tall and has a total of 479 suites. 3750 Bathurst Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2345 Yonge Street Condos is a new condominium development by RioCan Living currently in pre-construction located at 2345 Yonge Street, Toronto in the Yonge & Eglinton neighbourhood with a 97/100 walk score and a 91/100 transit score. The project is 34 storeys tall and has a total of 352 suites. 2345 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1141 Roselawn Avenue Condos is a new condominium development by NJS Capital currently in pre-construction located at 1141 Roselawn Avenue, Toronto in the Fairbank neighbourhood with a 15/100 walk score and a 74/100 transit score. 1141 Roselawn Avenue Condos is designed by RAW Design. The project is 11 storeys tall and has a total of 133 suites. 1141 Roselawn Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Oasis by Bazis Towns is a new condominium development by Bazis Inc currently in pre-construction located at 579 Lawrence Avenue West, Toronto in the Glen Park neighbourhood with a 19/100 walk score and a 82/100 transit score. Oasis by Bazis Towns is designed by Rosario Varacalli. The project is 4 storeys tall and has a total of 25 suites. Oasis by Bazis Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
